Date,Price,Open,High,Low,Vol,Change
12/30/2022,1826.2,1821.8,1832.4,1819.8,107.50K,0.0001
12/29/2022,1826,1812.3,1827.3,1811.2,105.99K,0.0056
12/28/2022,1815.8,1822.4,1822.8,1804.2,118.08K,-0.004
12/27/2022,1823.1,1808.2,1841.9,1808,159.62K,0.0074
12/26/2022,1809.7,1805.8,1811.95,1805.55,,0.003
12/23/2022,1804.2,1801,1812.2,1798.9,105.46K,0.005
12/22/2022,1795.3,1823.8,1829.3,1792.7,175.77K,-0.0165
12/21/2022,1825.4,1827.9,1833.8,1821.3,110.18K,0
12/20/2022,1825.4,1796.8,1832.4,1793.7,197.50K,0.0154
12/19/2022,1797.7,1801.6,1808.6,1793.2,86.09K,-0.0014
12/16/2022,1800.2,1786.9,1804.2,1783.9,128.75K,0.0069
12/15/2022,1787.8,1818.7,1819.7,1782,185.32K,-0.017
12/14/2022,1818.7,1822.6,1825.4,1806.2,143.80K,-0.0037
12/13/2022,1825.5,1792.3,1836.9,1791.8,230.91K,0.0185
12/12/2022,1792.3,1808,1809.3,1789,107.78K,-0.0102
12/9/2022,1810.7,1801.9,1819,1800.1,150.94K,0.0051
12/8/2022,1801.5,1799.5,1806.9,1793.2,116.27K,0.0019
12/7/2022,1798,1783.3,1803.2,1780.5,155.57K,0.0088
12/6/2022,1782.4,1780.8,1793.2,1779.1,127.86K,0.0006
12/5/2022,1781.3,1810.5,1822.9,1778.1,179.82K,-0.0156
12/2/2022,1809.6,1817,1818.7,1791.8,183.72K,-0.0031
12/1/2022,1815.2,1783.1,1818.4,1782.9,226.15K,0.0314
11/30/2022,1759.9,1763.4,1784.2,1758.2,192.24K,-0.0022
11/29/2022,1763.7,1754.6,1773.4,1752.9,127.32K,0.0048
11/28/2022,1755.3,1771.1,1778.5,1753.3,128.55K,0.0007
11/25/2022,1754,1751,1761.2,1745.9,134.30K,-0.0008
11/24/2022,1755.35,1753.05,1758.95,1752.55,,0.0056
11/23/2022,1745.6,1740.8,1754.9,1719,167.77K,0.0033
11/22/2022,1739.9,1739.7,1751,1737.6,153.09K,0.0002
11/21/2022,1739.6,1752,1755,1733.9,166.08K,-0.0084
11/18/2022,1754.4,1763.1,1769.9,1749.2,137.33K,-0.0049
11/17/2022,1763,1777,1777.6,1756.6,169.10K,-0.0072
11/16/2022,1775.8,1782,1788.2,1773.4,200.76K,-0.0006
11/15/2022,1776.8,1774,1791.8,1770.2,283.02K,-0.0001
11/14/2022,1776.9,1769.4,1778.4,1755.8,191.35K,0.0042
11/11/2022,1769.4,1758.3,1775.6,1750.3,227.04K,0.009
11/10/2022,1753.7,1709.7,1760.6,1705.5,305.72K,0.0233
11/9/2022,1713.7,1715.2,1725.8,1705.1,239.65K,-0.0013
11/8/2022,1716,1678,1720.4,1667.1,297.62K,0.0211
